name,address,lat,lng,limited_time,open_hours,rest_days,midnight,pudding,basque,tiramisu,dessert,salty_food,café,alcohol,study,chat,photo,pet,wifi,
雷爾森咖啡,桃園市中壢區永光里三光路205號,24.96607802,121.2136804,,13:30-18:30(週一、週二店休),"Mon. ,Tue.",0,0,0,1,1,0,1,0,0,1,0,0,,
走走咖啡,桃園市桃園區大興里寶山街358號,25.01550118,121.3121731,,09:30-17:30,,0,0,1,0,1,0,1,0,0,1,1,0,,
鬍莉咖啡,桃園市中壢區石頭里中山路161-1號,24.96415618,121.2232525,,12:00-18:00(週一、週二店休),"Mon. ,Tue.",0,1,1,0,1,0,1,0,0,1,1,0,,
和平咖啡館,桃園市中壢區永興里興國路8號2樓,24.96415618,121.2208492,,18:00-02:00(週二店休),Tue.,1,0,0,0,1,1,1,1,0,1,1,0,,
我們。他們 咖啡廳,桃園市中壢區舊明里長安街1之 13號,24.95668603,121.216386,,13:30-21:00(週二店休),Tue.,0,0,0,0,1,0,1,0,0,1,1,1,,
OAO.CoffeeBar,桃園市中壢區普忠里新中北路488號,24.97302639,121.2395603,,21:00-03:00,,1,0,1,0,1,0,1,1,0,1,1,0,,
不眠深夜咖啡廳,桃園市中壢區普忠里環中東路708巷42號,24.95573547,121.2439809,,14:00-00:00(週四店休),Thu.,1,0,0,0,0,0,1,0,1,0,0,0,,
燊咖啡,桃園市桃園區新埔六街138號,25.0164747,121.3016895,0,12:00-22:00(週二是12:00~17:30),Tue.12:00-17:30,0,0,1,0,1,1,1,0,1,1,1,1,,
甯 咖啡,桃園市中壢區大仁五街12號,24.9562756,121.2405441,0,11:30~20:00每月單數週日及每週一店休,,0,0,0,1,1,1,1,0,0,1,0,0,,
武威堂咖啡,桃園市中壢區東興里龍岡路一段63巷52號,,,1,平日11:00-18:00 / 假日10:00-18:00,,0,1,1,1,1,1,1,0,0,1,1,1,,
懶懶日咖啡,桃園市中壢區興南里慈惠一街126號,,,1,營業時間依公告為主,"Mon. ,Tue.",0,0,1,1,1,0,1,0,0,1,1,0,,
突奌咖啡喵,桃園市中壢區福州路20號,24.9536276,121.2321894,1,11:30-19:00,"Tue., Wed.",0,0,1,0,1,1,1,0,0,1,1,1,,
流石咖啡,桃園市中壢區福州二街412-1號,24.9676853,121.232198,1,平日13:00-22:00 / 週五週六13:00-24:00,Wed.,1,0,0,0,1,0,1,1,0,1,1,0,,
香草蛋糕舖 Vanilla Pastry House,桃園市桃園區民族路193號,24.994018,121.30778,,10:30–21:30,,0,1,0,1,1,1,1,0,0,1,0,0,,
George's coffee,桃園市中壢區民權路150號,24.958994,121.217697,0,週一、三、四、六11:00-20:00 / 週二、五13:00-20:00,,0,1,1,0,1,1,1,1,1,0,0,0,,
老墨咖啡,桃園市中壢區延平路324號,24.9604559,121.2256136,0,09:30–16:00,Sun.,0,0,0,0,0,0,1,0,0,1,0,0,,
只是光影 獨立咖啡廳,桃園市桃園區新民街43巷10之1號,24.994488,121.312375,1,14:00–19:00,"Tue., Wed.",0,0,1,0,1,1,1,1,0,1,1,0,,
我們。他們,桃園市中壢區長安街 1之13號（老街溪河濱步道上）,24.953617,121.218041,0,有時有講座，不對外開放,,0,1,0,1,1,0,1,0,1,1,1,1,,
喵日子 Café,桃園區保定三街93號,24.9983361,121.2978507,,最後收客時間20:30 暫不接待12歲以下小朋友,,0,0,0,0,1,1,1,0,0,1,1,1,,
尼爾瓦特,桃園市龍潭區龍源路大平段690巷105號,24.825126,121.2470289,0,平日10:00-18:00 / 假日10:00-19:30,Tue.,0,0,0,0,1,1,1,0,0,1,1,0,,
福森咖啡-大溪店,桃園市大溪區登龍路18號,24.8833721,121.2866574,,,,,,,,,,,,,,,,,
有間在桃園,桃園市桃園區金門四街52號,24.9818456,121.313716,,營業時間依公告為主,Tue.,0,0,1,0,1,0,1,1,0,1,1,0,,
黑豆啡,桃園市同德11街156號,25.0200515,121.2945996,,10:00–19:00,Thu.,0,1,1,0,1,0,1,0,0,1,0,0,,
金木犀 Kinmokusei,桃園市桃園區力行路385巷31號,24.9979222,121.2974387,,12:00–18:00,"wed., Thu.",0,0,0,0,1,0,1,0,0,1,0,0,,
Chīwit Kaffe其味咖啡2店,桃園市桃園區文中里文中一路136號,24.9912209,121.310708,,09:00–17:00,"Mon. ,Tue. ,Wed. ,Thu.",0,1,1,0,1,0,1,1,0,1,0,1,,
松鼎精品咖啡,桃園市中壢區中山路59號,24.9550489,121.2269329,,,,,,,,,,,,,,,,,
圓桌咖啡,桃園市中壢區三光路317號,24.9641644,121.2143425,,平日09:00-16:00 / 假日10:00-18:00,Wed.,0,0,0,1,1,1,1,0,1,1,0,0,,
Table 2 Coffee Roaster,桃園市中壢區興平路163號號,24.9659549,121.227522,,10:30–18:30,Tue.,0,1,1,0,1,1,1,0,0,1,1,0,,
哈瓦那(中壢悅讀館),桃園市中壢區慈惠三街157巷6號,24.9645748,121.2251341,,,,0,0,0,0,1,1,1,1,1,0,0,0,1,1
寒咖啡_65號文創空間,桃園市中壢區興南里慈惠一街124巷6號,,,,12:00–19:00,"Mon. ,Tue.",,,,,,,,,,,,,,
Cafeholic coffee & bar,桃園市中壢區龍昌路26號號 1 樓,24.941315,121.2500315,,週二公休,,,,,,,,,,,,,,,
Alpha Coffee & Tea,桃園市平鎮區工業五路8號,24.9022939,121.198164,,,,,,,,,,,,,,,,,
JD café,桃園市龜山區興華三街6號,25.054334,121.3663464,,11:00-21:00,,,,,,,,,,,,,,,
momo cafe,桃園市大園區大勇路33號,25.0198507,121.218395,,11:00-19:00,,,,,,,,,,,,,,,
